term_name,Group,QC
response to hydrogen sulfide,response to stimulus,0.92
response to hydroperoxide,response to stimulus,0.708
response to hydrostatic pressure,response to stimulus,0.724
response to hydroxyisoflavone,response to stimulus,0.956
response to hydroxyurea,response to stimulus,0.88
response to hypobaric hypoxia,response to stimulus,0.806
response to immobilization stress,response to stimulus,0.636
response to inactivity,response to stimulus,0.894
response to indole-3-methanol,response to stimulus,0.95
response to insecticide,response to stimulus,0.936
response to insulin-like growth factor stimulus,response to stimulus,0.864
response to interleukin-11,response to stimulus,0.698
response to interleukin-12,response to stimulus,0.604
response to interleukin-13,response to stimulus,0.7
response to interleukin-15,response to stimulus,0.612
response to interleukin-17,immune system process,0.504
response to interleukin-2,response to stimulus,0.536
response to interleukin-21,response to stimulus,0.726
response to interleukin-3,response to stimulus,0.728
response to interleukin-7,response to stimulus,0.49
response to interleukin-8,response to stimulus,0.71
response to interleukin-9,response to stimulus,0.582
response to intra-S DNA damage checkpoint signaling,protein modification/signaling,0.172
response to ionomycin,response to stimulus,0.956
response to iron ion starvation,response to stimulus,0.864
response to iron(II) ion,response to stimulus,0.942
response to iron(III) ion,response to stimulus,0.966
response to isolation stress,response to stimulus,0.65
response to isoquinoline alkaloid,response to stimulus,0.898
response to jasmonic acid,response to stimulus,0.834
response to kainic acid,response to stimulus,0.966
response to ketamine,response to stimulus,0.864
response to laminar fluid shear stress,stress response,0.586
response to leptin,response to stimulus,0.782
response to leptomycin B,response to stimulus,0.964
response to light intensity,response to stimulus,0.81
response to light stimulus,stress response,0.732
response to linoleic acid,response to stimulus,0.964
response to lipid hydroperoxide,response to stimulus,0.708
response to lipoic acid,response to stimulus,0.956
response to lipoprotein particle,response to stimulus,0.908
response to lipoteichoic acid,response to stimulus,0.756
response to lithium ion,response to stimulus,0.95
response to low light intensity stimulus,response to stimulus,0.732
response to luteinizing hormone,response to stimulus,0.976
response to macrophage colony-stimulating factor,response to stimulus,0.634
response to magnesium ion,response to stimulus,0.94
response to magnetism,response to stimulus,0.876
response to manganese-induced endoplasmic reticulum stress,response to stimulus,0.792
response to melanocyte-stimulating hormone,response to stimulus,0.842
response to mercury ion,response to stimulus,0.952
response to methamphetamine hydrochloride,response to stimulus,0.958
response to methionine,response to stimulus,0.974
response to methotrexate,response to stimulus,0.924
response to methyl methanesulfonate,response to stimulus,0.948
response to methylamine,response to stimulus,0.944
response to methylglyoxal,response to stimulus,0.954
response to methylmercury,response to stimulus,0.93
response to mineralocorticoid,response to stimulus,0.932
response to misfolded protein,response to stimulus,0.79
response to mitotic cell cycle checkpoint signaling,cell cycle,0.454
response to molecule of fungal origin,response to stimulus,0.76
response to monoamine,response to stimulus,0.906
response to morphine,response to stimulus,0.864
response to muscle activity involved in regulation of muscle adaptation,response to stimulus,0.86
response to muscle inactivity,response to stimulus,0.878
response to muscle inactivity involved in regulation of muscle adaptation,response to stimulus,0.814
response to mycophenolic acid,response to stimulus,0.916
response to mycotoxin,response to stimulus,0.928
response to nematode,response to stimulus,0.864
response to nickel cation,response to stimulus,0.972
response to nicotine,response to stimulus,0.818
response to nitric oxide,response to stimulus,0.878
response to nitrogen compound,response to stimulus,0.734
response to nitrogen dioxide,response to stimulus,0.922
response to nitroglycerin,response to stimulus,0.958
response to nitrosative stress,response to stimulus,0.606
response to non-ionic osmotic stress,response to stimulus,0.54
response to norepinephrine,response to stimulus,0.876
response to odorant,response to stimulus,0.854
response to oleic acid,response to stimulus,0.964
response to organic substance,response to stimulus,0.34
response to organonitrogen compound,response to stimulus,0.728
response to other organism,immune system process,0.37
response to oxygen radical,response to stimulus,0.702
response to oxygen-containing compound,response to stimulus,0.578
response to oxygen-glucose deprivation,response to stimulus,0.698
response to ozone,response to stimulus,0.784
response to pH,response to stimulus,0.664
response to pain,response to stimulus,0.762
response to parathyroid hormone,response to stimulus,0.896
response to peptidoglycan,response to stimulus,0.762
response to phenylpropanoid,response to stimulus,0.794
response to pheromone,response to stimulus,0.84
response to phorbol 13-acetate 12-myristate,response to stimulus,0.944
response to phosphatidylethanolamine,response to stimulus,0.97
response to platelet-derived growth factor,response to stimulus,0.784
response to platinum ion,response to stimulus,0.972
response to potassium ion,response to stimulus,0.938
response to prolactin,response to stimulus,0.982
response to prostaglandin,response to stimulus,0.904
response to prostaglandin D,response to stimulus,0.974
response to prostaglandin E,response to stimulus,0.932
response to prostaglandin F,response to stimulus,0.938
response to psychosocial stress,response to stimulus,0.728
response to puromycin,response to stimulus,0.96
response to putrescine,response to stimulus,0.96
response to pyrethroid,response to stimulus,0.814
response to pyrimidine ribonucleotide,response to stimulus,0.958
response to raffinose,response to stimulus,0.938
response to rapamycin,response to stimulus,0.922
response to redox state,response to stimulus,0.704
response to salicylic acid,response to stimulus,0.902
response to salt stress,stress response,0.69
response to selenite ion,response to stimulus,0.948
response to selenium ion,response to stimulus,0.96
response to serotonin,response to stimulus,0.962
response to silicon dioxide,response to stimulus,0.956
response to silver ion,response to stimulus,0.974
response to singlet oxygen,response to stimulus,0.676
response to sodium arsenite,response to stimulus,0.932
response to sodium dodecyl sulfate,response to stimulus,0.948
response to sodium phosphate,response to stimulus,0.928
response to sorbitol,response to stimulus,0.936
response to staurosporine,response to stimulus,0.934
response to stem cell factor,response to stimulus,0.696
response to sterol depletion,stress response,0.56
response to stilbenoid,response to stimulus,0.814
response to stimulus,metabolic process,0.22
response to stimulus involved in regulation of muscle adaptation,response to stimulus,0.866
response to stress,stress response,0.166
response to sucrose,response to stimulus,0.906
response to superoxide,response to stimulus,0.688
response to symbiont,response to stimulus,0.778
response to symbiotic bacterium,response to stimulus,0.796
response to tacrolimus,response to stimulus,0.962
response to testosterone,response to stimulus,0.924
response to tetrachloromethane,response to stimulus,0.854
response to tetrahydrofolate,response to stimulus,0.964
response to thyroid hormone,response to stimulus,0.784
response to thyrotropin-releasing hormone,response to stimulus,0.978
response to thyroxine,response to stimulus,0.836
response to transition metal nanoparticle,response to stimulus,0.898
response to triacyl bacterial lipopeptide,response to stimulus,0.816
response to trichostatin A,response to stimulus,0.958
response to triglyceride,response to stimulus,0.966
response to type III interferon,response to stimulus,0.524
response to ultrasound,response to stimulus,0.866
response to vasopressin,response to stimulus,0.974
response to vitamin A,response to stimulus,0.906
response to vitamin B1,response to stimulus,0.938
response to vitamin B2,response to stimulus,0.948
response to vitamin B6,response to stimulus,0.914
response to vitamin E,response to stimulus,0.954
response to vitamin K,response to stimulus,0.95
response to water,response to stimulus,0.876
response to water deprivation,response to stimulus,0.794
response to water-immersion restraint stress,response to stimulus,0.754
response to wortmannin,response to stimulus,0.964
response to yeast,response to stimulus,0.818
response to zinc ion,response to stimulus,0.914
response to zinc ion starvation,response to stimulus,0.83
resveratrol binding,metabolic process,0.244
reticulophagy,cellular component organization,0.202
retina blood vessel maintenance,cellular component organization,0.188
retina homeostasis,multicellular organismal process,0.366
retina layer formation,morphogenesis/development,0.318
retina morphogenesis in camera-type eye,morphogenesis/development,0.75
retina vasculature development in camera-type eye,morphogenesis/development,0.988
retina vasculature morphogenesis in camera-type eye,morphogenesis/development,0.87
retinal binding,metabolic process,0.326
retinal bipolar neuron differentiation,morphogenesis/development,0.788
retinal blood vessel morphogenesis,morphogenesis/development,0.968
retinal cell apoptotic process,cell death,0.802
retinal cell programmed cell death,morphogenesis/development,0.42
retinal cone cell apoptotic process,cell death,0.22
retinal cone cell development,morphogenesis/development,0.192
retinal cone cell differentiation,morphogenesis/development,0.64
retinal dehydrogenase activity,metabolic process,0.908
retinal metabolic process,metabolic process,0.912
retinal pigment epithelium development,morphogenesis/development,0.728
retinal rod cell apoptotic process,cell death,0.22
retinal rod cell development,morphogenesis/development,0.216
retinoic acid 4-hydroxylase activity,metabolic process,0.848
retinoic acid binding,metabolic process,0.304
retinoic acid biosynthetic process,metabolic process,0.948
retinoic acid catabolic process,metabolic process,0.746
retinoic acid receptor signaling pathway involved in somitogenesis,receptor related process,0.432
retinoic acid-responsive element binding,gene regulation,0.306
retinoid binding,metabolic process,0.314
retinoid metabolic process,metabolic process,0.902
retinol O-fatty-acyltransferase activity,metabolic process,0.884
retinol binding,cellular component organization,0.212
retinol isomerase activity,metabolic process,0.896
retinol metabolic process,metabolic process,0.838
retinol transmembrane transporter activity,cellular component organization,0.378
retinol transport,transport,0.638
retinyl-palmitate esterase activity,metabolic process,0.852
retrograde axonal protein transport,transport,0.358
retrograde axonal transport,transport,0.762
retrograde axonal transport of mitochondrion,transport,0.404
retrograde neuronal dense core vesicle transport,transport,0.358
retrograde trans-synaptic signaling,protein modification/signaling,0.272
retrograde trans-synaptic signaling by endocannabinoid,neural related process,0.228
retrograde trans-synaptic signaling by lipid,protein modification/signaling,0.204
retrograde trans-synaptic signaling by neuropeptide,neural related process,0.252
retrograde trans-synaptic signaling by nitric oxide,neural related process,0.232
"retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission",neural related process,0.238
retrograde trans-synaptic signaling by soluble gas,protein modification/signaling,0.198
retrograde trans-synaptic signaling by trans-synaptic protein complex,protein modification/signaling,0.324
"retrograde transport, endosome to Golgi",transport,0.662
"retrograde transport, plasma membrane to Golgi",transport,0.382
"retrograde transport, vesicle recycling within Golgi",transport,0.32
"retrograde transporter complex, Golgi to ER",ER/endosome/lysosome related process,0.33
retromer complex,cellular component organization,0.208
retromer complex binding,metabolic process,0.238
"retromer, cargo-selective complex",cellular component organization,0.258
"retromer, tubulation complex",cellular component organization,0.312
retrotransposition,gene regulation,0.438
retrotransposon silencing,gene regulation,0.258
retrotransposon silencing by heterochromatin formation,cellular component organization,0.308
retrotransposon silencing by mRNA destabilization,cellular component organization,0.238
retrotrapezoid nucleus development,morphogenesis/development,0.704
retrotrapezoid nucleus neuron differentiation,morphogenesis/development,0.582
reverse cholesterol transport,transport,0.41
reversible differentiation,morphogenesis/development,0.23
rhodopsin kinase activity,metabolic process,0.796
rhodopsin mediated signaling pathway,receptor related process,0.36
rhombomere 2 development,morphogenesis/development,0.83
rhombomere 3 development,morphogenesis/development,0.818
rhombomere 3 formation,morphogenesis/development,0.532
rhombomere 3 morphogenesis,morphogenesis/development,0.676
rhombomere 3 structural organization,morphogenesis/development,0.506
rhombomere 4 development,morphogenesis/development,0.812
rhombomere 5 development,morphogenesis/development,0.81
rhombomere 5 formation,morphogenesis/development,0.532
rhombomere 5 morphogenesis,morphogenesis/development,0.678
rhombomere 5 structural organization,morphogenesis/development,0.506
rhombomere 6 development,morphogenesis/development,0.832
rhombomere development,morphogenesis/development,0.79
rhombomere formation,morphogenesis/development,0.724
rhombomere morphogenesis,morphogenesis/development,0.734
rhombomere structural organization,morphogenesis/development,0.552
rhythmic behavior,neural related process,0.386
rhythmic excitation,morphogenesis/development,0.208
rhythmic synaptic transmission,neural related process,0.334
ribbon synapse,cellular component organization,0.282
ribitol 2-dehydrogenase activity,metabolic process,0.928
"ribitol beta-1,4-xylosyltransferase activity",metabolic process,0.896
ribitol phosphate metabolic process,metabolic process,0.91
riboflavin binding,metabolic process,0.244
riboflavin biosynthetic process,metabolic process,0.89
riboflavin kinase activity,metabolic process,0.796
riboflavin metabolic process,metabolic process,0.986
riboflavin reductase (NADPH) activity,metabolic process,0.93
riboflavin transmembrane transporter activity,cellular component organization,0.266
riboflavin transport,transport,0.708
ribokinase activity,metabolic process,0.796
ribonuclease A activity,metabolic process,0.36
ribonuclease E activity,metabolic process,0.388
ribonuclease H2 complex,cellular component organization,0.248
ribonuclease III activity,metabolic process,0.492
ribonuclease III complex,metabolic process,0.328
ribonuclease MRP activity,metabolic process,0.448
ribonuclease MRP complex,gene regulation,0.352
ribonuclease P RNA binding,gene regulation,0.52
ribonuclease P activity,gene regulation,0.384
ribonuclease P complex,gene regulation,0.296
ribonuclease T2 activity,metabolic process,0.512
ribonuclease inhibitor activity,metabolic process,0.474
ribonucleoprotein complex,gene regulation,0.532
ribonucleoprotein complex localization,transport,0.262
ribonucleoprotein granule,cellular component organization,0.392
ribonucleoside binding,metabolic process,0.486
ribonucleoside biosynthetic process,metabolic process,0.982
ribonucleoside bisphosphate biosynthetic process,metabolic process,0.994
ribonucleoside bisphosphate catabolic process,metabolic process,0.99
ribonucleoside bisphosphate metabolic process,metabolic process,0.992
ribonucleoside catabolic process,metabolic process,0.984
ribonucleoside diphosphate biosynthetic process,metabolic process,1
ribonucleoside diphosphate catabolic process,metabolic process,0.992
ribonucleoside metabolic process,metabolic process,0.994
ribonucleoside monophosphate metabolic process,metabolic process,0.998
ribonucleoside triphosphate catabolic process,metabolic process,0.992
ribonucleoside-diphosphate reductase activity,metabolic process,0.76
"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",metabolic process,0.902
ribonucleoside-diphosphate reductase complex,metabolic process,0.47
ribonucleotide binding,other,0.504
ribonucleotide catabolic process,metabolic process,0.99
ribose phosphate diphosphokinase activity,metabolic process,0.842
ribose phosphate diphosphokinase complex,protein modification/signaling,0.342
ribose-5-phosphate isomerase activity,metabolic process,0.896
ribosomal large subunit assembly,cellular component organization,0.948
ribosomal large subunit binding,cellular component organization,0.244
ribosomal large subunit export from nucleus,transport,0.356
ribosomal protein S6 kinase activity,metabolic process,0.542
ribosomal protein import into nucleus,transport,0.39
ribosomal small subunit export from nucleus,transport,0.338
ribosomal subunit,cellular component organization,0.498
ribosome,cellular component organization,0.346
ribosome binding,gene regulation,0.514
ribosome disassembly,cellular component organization,0.566
ribosome hibernation,morphogenesis/development,0.162
ribosome localization,transport,0.532
ribosome-associated ubiquitin-dependent protein catabolic process,metabolic process,0.63
ribosylnicotinamide kinase activity,metabolic process,0.796
ribosylnicotinate kinase activity,metabolic process,0.744
right lung development,morphogenesis/development,0.896
right lung morphogenesis,morphogenesis/development,0.766
right ventricular cardiac muscle tissue morphogenesis,morphogenesis/development,0.89
right ventricular compact myocardium morphogenesis,morphogenesis/development,0.728
righting reflex,morphogenesis/development,0.202
ripoptosome,cell death,0.352
ripoptosome assembly,cellular component organization,0.478
ripoptosome assembly involved in necroptotic process,cellular component organization,0.436
rod bipolar cell differentiation,morphogenesis/development,0.682
rod photoreceptor disc membrane,cellular component organization,0.29
rod photoreceptor outer segment,cellular component organization,0.33
roof of mouth development,morphogenesis/development,0.864
roof plate formation,morphogenesis/development,0.286
rostrocaudal neural tube patterning,morphogenesis/development,0.292
rough endoplasmic reticulum,ER/endosome/lysosome related process,0.236
rough endoplasmic reticulum lumen,ER/endosome/lysosome related process,0.274
rough endoplasmic reticulum membrane,ER/endosome/lysosome related process,0.298
ruffle assembly,cellular component organization,0.468
ryanodine receptor complex,receptor related process,0.208
ryanodine-sensitive calcium-release channel activity,transport,0.51
"saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity",metabolic process,0.93
"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity",metabolic process,0.93
"saccharopine dehydrogenase (NADP+, L-lysine-forming) activity",metabolic process,0.932
saccharopine dehydrogenase activity,metabolic process,0.874
sagittal suture morphogenesis,morphogenesis/development,0.45
saliva secretion,metabolic process,0.528
salivary gland cavitation,morphogenesis/development,0.28
salivary gland morphogenesis,morphogenesis/development,0.916
salt transmembrane transporter activity,transport,0.734
sarcoglycan complex,protein modification/signaling,0.28
sarcolemma,cellular component organization,0.354
sarcomere,cellular component organization,0.43
sarcomerogenesis,cellular component organization,0.186
sarcoplasm,cellular component organization,0.208
sarcoplasmic reticulum,cellular component organization,0.16
sarcoplasmic reticulum calcium ion transport,transport,0.762
sarcoplasmic reticulum lumen,cellular component organization,0.576
sarcoplasmic reticulum membrane,cellular component organization,0.648
sarcosine catabolic process,metabolic process,0.89
sarcosine dehydrogenase activity,metabolic process,0.896
sarcosine metabolic process,metabolic process,0.988
sarcosine oxidase activity,metabolic process,0.9
satellite DNA binding,gene regulation,0.52
satellite cell activation involved in skeletal muscle regeneration,morphogenesis/development,0.232
saturated monocarboxylic acid metabolic process,metabolic process,0.786
scaRNA localization to Cajal body,gene regulation,0.268
scaffold protein binding,protein modification/signaling,0.298
scavenger receptor activity,immune system process,0.202
scavenger receptor binding,cellular component organization,0.218
sclerotome development,morphogenesis/development,0.876
sebaceous gland cell differentiation,morphogenesis/development,0.928
sebaceous gland development,morphogenesis/development,0.99
sebum secreting cell proliferation,cell cycle,0.786
secalciferol 1-monooxygenase activity,metabolic process,0.626
second spliceosomal transesterification activity,metabolic process,0.556
secondary active monocarboxylate transmembrane transporter activity,transport,0.56
secondary active oligopeptide transmembrane transporter activity,transport,0.66
secondary active organic cation transmembrane transporter activity,transport,0.412
secondary active sulfate transmembrane transporter activity,transport,0.616
secondary alcohol metabolic process,metabolic process,0.978
secondary heart field specification,morphogenesis/development,0.34
secondary lysosome,cellular component organization,0.518
secondary metabolic process,metabolic process,0.748
secondary metabolite biosynthetic process,metabolic process,0.866
secondary palate development,morphogenesis/development,0.864
secondary piRNA processing,protein modification/signaling,0.278
secretin receptor activity,cellular component organization,0.178
secretion by cell,transport,0.558
secretion by lung epithelial cell involved in lung growth,morphogenesis/development,0.282
secretion by tissue,transport,0.452
secretion of lysosomal enzymes,transport,0.62
secretory IgA immunoglobulin complex,cellular component organization,0.29
secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development,morphogenesis/development,0.688
secretory dimeric IgA immunoglobulin complex,cellular component organization,0.272
secretory granule,immune system process,0.3
secretory granule localization,transport,0.57
secretory granule lumen,cellular component organization,0.602
secretory granule maturation,cellular component organization,0.54
secretory granule organization,cellular component organization,0.744
secretory vesicle,immune system process,0.304
sedoheptulokinase activity,metabolic process,0.796
segment specification,multicellular organismal process,0.386
"selenide, water dikinase activity",metabolic process,0.806
selenium binding,metabolic process,0.232
selenium compound metabolic process,metabolic process,0.87
selenocystathionine gamma-lyase activity,metabolic process,0.904
selenocysteine biosynthetic process,metabolic process,0.666
selenocysteine catabolic process,metabolic process,0.66
selenocysteine incorporation,gene regulation,0.252
selenocysteine insertion sequence binding,gene regulation,0.308
selenocysteine lyase activity,metabolic process,0.898
selenocysteine metabolic process,metabolic process,0.978
selenocysteine-tRNA ligase activity,metabolic process,0.82
selenotransferase activity,metabolic process,0.892
self proteolysis,metabolic process,0.444
semaphorin receptor activity,receptor related process,0.192
semaphorin receptor binding,receptor related process,0.486
semaphorin receptor complex,receptor related process,0.332
semaphorin-plexin signaling pathway,receptor related process,0.474
semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis,protein modification/signaling,0.172
semaphorin-plexin signaling pathway involved in neuron projection guidance,receptor related process,0.392
semaphorin-plexin signaling pathway involved in outflow tract morphogenesis,receptor related process,0.466
semi-lunar valve development,morphogenesis/development,0.978
semicircular canal development,morphogenesis/development,0.91
semicircular canal formation,morphogenesis/development,0.608
semicircular canal fusion,morphogenesis/development,0.36
semicircular canal morphogenesis,morphogenesis/development,0.768
seminal clot liquefaction,morphogenesis/development,0.312
seminal vesicle development,morphogenesis/development,0.748
seminal vesicle epithelium development,morphogenesis/development,0.852
seminal vesicle morphogenesis,morphogenesis/development,0.748
senescence-associated heterochromatin focus,gene regulation,0.27
sensitization,immune system process,0.248
sensory neuron axon guidance,neural related process,0.438
sensory neuron migration,neural related process,0.212
sensory organ boundary specification,morphogenesis/development,0.182
sensory organ development,morphogenesis/development,0.712
sensory organ morphogenesis,morphogenesis/development,0.736
sensory perception,neural related process,0.716
sensory perception of bitter taste,protein modification/signaling,0.202
sensory perception of chemical stimulus,neural related process,0.266
sensory perception of cold stimulus,neural related process,0.198
sensory perception of hot stimulus,protein modification/signaling,0.188
sensory perception of itch,cellular component organization,0.244
sensory perception of light stimulus,neural related process,0.332
sensory perception of salty taste,protein modification/signaling,0.202
sensory perception of smell,neural related process,0.172
sensory perception of sound,neural related process,0.314
sensory perception of sour taste,protein modification/signaling,0.202
sensory perception of sweet taste,protein modification/signaling,0.202
sensory perception of taste,neural related process,0.234
sensory perception of temperature stimulus,neural related process,0.426
sensory perception of touch,immune system process,0.192
sensory perception of umami taste,protein modification/signaling,0.202
sensory processing,multicellular organismal process,0.348
sepiapterin reductase activity,metabolic process,0.934
septin collar,cellular component organization,0.536
septin complex,cell cycle,0.244
septin cytoskeleton,cellular component organization,0.58
septin cytoskeleton organization,cellular component organization,0.964
septin ring,cellular component organization,0.518
septin ring assembly,cellular component organization,0.878
septin ring organization,cellular component organization,0.868
septum primum development,morphogenesis/development,0.854
septum secundum development,morphogenesis/development,0.852
septum transversum development,morphogenesis/development,0.74
sequence-specific DNA binding,gene regulation,0.826
sequestering of BMP from receptor via BMP binding,receptor related process,0.42
sequestering of BMP in extracellular matrix,receptor related process,0.23
sequestering of TGFbeta in extracellular matrix,receptor related process,0.214
sequestering of actin monomers,cellular component organization,0.316
sequestering of extracellular ligand from receptor,receptor related process,0.532
sequestering of iron ion,transport,0.224
sequestering of metal ion,cellular component organization,0.214
sequestering of neurotransmitter,cellular component organization,0.248
sequestering of nodal from receptor via nodal binding,receptor related process,0.432
sequestering of triglyceride,cellular component organization,0.262
sequestering of zinc ion,cellular component organization,0.244
serine C-palmitoyltransferase activity,metabolic process,0.896
serine C-palmitoyltransferase complex,metabolic process,0.532
serine O-acyltransferase activity,metabolic process,0.9
serine binding,metabolic process,0.34
serine family amino acid catabolic process,metabolic process,0.994
serine hydrolase activity,metabolic process,0.494
serine import across plasma membrane,transport,0.874
serine import into mitochondrion,cellular component organization,0.204
serine phosphorylation of STAT protein,protein modification/signaling,0.578
serine protease inhibitor complex,protein modification/signaling,0.268
serine racemase activity,metabolic process,0.514
serine-pyruvate aminotransferase complex,metabolic process,0.334
serine-pyruvate transaminase activity,metabolic process,0.896
serine-tRNA ligase activity,metabolic process,0.82
serine-type aminopeptidase activity,metabolic process,0.572
serine-type carboxypeptidase activity,metabolic process,0.528
serine-type endopeptidase activity,metabolic process,0.446
serine-type endopeptidase complex,protein modification/signaling,0.272
serine-type exopeptidase activity,metabolic process,0.506
serine-type peptidase activity,metabolic process,0.392
serine-type peptidase complex,metabolic process,0.266
serine/threonine protein kinase complex,protein modification/signaling,0.658
serotonergic neuron axon guidance,neural related process,0.418
serotonergic synapse,neural related process,0.214
serotonin binding,neural related process,0.238
serotonin biosynthetic process,metabolic process,0.886
serotonin metabolic process,metabolic process,0.904
serotonin production involved in inflammatory response,immune system process,0.544
serotonin receptor activity,neural related process,0.338
serotonin receptor complex,receptor related process,0.332
serotonin receptor signaling pathway,receptor related process,0.604
serotonin secretion,transport,0.42
serotonin secretion by mast cell,immune system process,0.324
serotonin secretion by platelet,immune system process,0.304
serotonin secretion involved in inflammatory response,transport,0.516
serotonin transport,transport,0.756
serotonin uptake,neural related process,0.368
serotonin-activated cation-selective channel complex,cellular component organization,0.322
serotonin:sodium:chloride symporter activity,metabolic process,0.52
serpin family protein binding,protein modification/signaling,0.25
serum response element binding,gene regulation,0.388
seryl-tRNA aminoacylation,metabolic process,0.562
sesquiterpenoid catabolic process,metabolic process,0.992
sesquiterpenoid metabolic process,metabolic process,0.996
sex chromatin,cellular component organization,0.302
sex chromosome,cellular component organization,0.498
sex determination,morphogenesis/development,0.404
sexual reproduction,cell cycle,0.382
sheet-forming collagen trimer,cellular component organization,0.422
shelterin complex,cellular component organization,0.21
shelterin complex assembly,cellular component organization,0.588
short-chain carboxylesterase activity,metabolic process,0.822
short-chain collagen trimer,cellular component organization,0.308
short-chain fatty acid biosynthetic process,metabolic process,0.984
short-chain fatty acid catabolic process,metabolic process,0.994
short-chain fatty acid metabolic process,metabolic process,0.988
short-chain fatty acid transmembrane transport,transport,0.87
short-chain fatty acid transmembrane transporter activity,transport,0.748
short-chain fatty acid transport,transport,0.98
short-chain-acyl-CoA dehydrogenase activity,metabolic process,0.908
short-term memory,morphogenesis/development,0.208
short-term synaptic potentiation,neural related process,0.356
siRNA binding,gene regulation,0.53
siRNA processing,gene regulation,0.724
siRNA transcription,gene regulation,0.576
siRNA-mediated gene silencing by mRNA destabilization,gene regulation,0.546
siRNA-mediated post-transcriptional gene silencing,gene regulation,0.488
siRNA-mediated retrotransposon silencing by heterochromatin formation,cellular component organization,0.356
sialate 4-O-acetylesterase activity,metabolic process,0.9
sialate 9-O-acetylesterase activity,metabolic process,0.9
sialate O-acetylesterase activity,metabolic process,0.818
sialic acid binding,metabolic process,0.232
sialic acid transmembrane transporter activity,transport,0.652
sialic acid transport,transport,0.718
sialic acid:proton symporter activity,metabolic process,0.526
sialylation,protein modification/signaling,0.326
side of membrane,cellular component organization,0.52
siderophore biosynthetic process,metabolic process,0.822
siderophore metabolic process,metabolic process,0.804
siderophore transport,transport,0.962
siderophore-iron transmembrane transporter activity,transport,0.558
signal clustering,receptor related process,0.362
signal complex assembly,cellular component organization,0.424
signal peptidase complex,ER/endosome/lysosome related process,0.286
signal recognition particle,gene regulation,0.242
signal recognition particle binding,metabolic process,0.22
signal recognition particle receptor complex,receptor related process,0.208
"signal recognition particle, endoplasmic reticulum targeting",gene regulation,0.188
signal release from synapse,neural related process,0.462
signal sequence binding,protein modification/signaling,0.208
signal transduction,metabolic process,0.158
signal transduction downstream of smoothened,protein modification/signaling,0.26
signal transduction involved in regulation of gene expression,gene regulation,0.258
signaling,metabolic process,0.178
signaling receptor activator activity,receptor related process,0.342
signaling receptor inhibitor activity,receptor related process,0.468
signaling receptor regulator activity,receptor related process,0.306
silver ion transmembrane transport,transport,0.436
silver ion transmembrane transporter activity,transport,0.612
single base insertion or deletion binding,gene regulation,0.55
single fertilization,cellular component organization,0.154
single guanine insertion binding,metabolic process,0.204
single strand break repair,stress response,0.638
single stranded viral RNA replication via double stranded DNA intermediate,viral related process,0.314
single thymine insertion binding,metabolic process,0.204
single-species biofilm formation,cellular component organization,0.18
single-species biofilm formation in or on host organism,gene regulation,0.238
single-strand break-containing DNA binding,cell cycle,0.198
single-strand selective uracil DNA N-glycosylase activity,metabolic process,0.426
single-stranded 3'-5' DNA helicase activity,metabolic process,0.502
single-stranded DNA 3'-5' DNA exonuclease activity,metabolic process,0.388
single-stranded DNA 5'-3' DNA exonuclease activity,metabolic process,0.402
single-stranded DNA endodeoxyribonuclease activity,metabolic process,0.514
single-stranded DNA exodeoxyribonuclease activity,metabolic process,0.436
single-stranded telomeric DNA binding,gene regulation,0.668
sinoatrial node cell development,morphogenesis/development,0.892
sinoatrial node cell differentiation,morphogenesis/development,0.732
sinoatrial node cell fate commitment,morphogenesis/development,0.274
sinoatrial node development,morphogenesis/development,0.87
sinoatrial valve development,morphogenesis/development,0.848
sinoatrial valve morphogenesis,morphogenesis/development,0.514
sinus venosus development,morphogenesis/development,0.846
sinus venosus morphogenesis,morphogenesis/development,0.39
sister chromatid biorientation,cell cycle,0.632
site of DNA damage,cellular component organization,0.32
site of double-strand break,cell cycle,0.22
site of polarized growth,cellular component organization,0.412
site-specific DNA-methyltransferase (adenine-specific) activity,metabolic process,0.73
"site-specific endodeoxyribonuclease activity, specific for altered base",metabolic process,0.566
skeletal muscle acetylcholine-gated channel clustering,cellular component organization,0.234
skeletal muscle adaptation,multicellular organismal process,0.45
skeletal muscle atrophy,immune system process,0.244
skeletal muscle cell proliferation,cell cycle,0.878
skeletal muscle contraction,multicellular organismal process,0.6
skeletal muscle fiber adaptation,protein modification/signaling,0.2
skeletal muscle fiber development,morphogenesis/development,0.948
skeletal muscle fiber differentiation,morphogenesis/development,0.908
skeletal muscle hypertrophy,cellular component organization,0.288
skeletal muscle myosin thick filament assembly,cellular component organization,0.544
skeletal muscle satellite cell activation,cell cycle,0.226
skeletal muscle satellite cell differentiation,morphogenesis/development,0.656
skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,morphogenesis/development,0.538
skeletal muscle satellite cell migration,transport,0.148
skeletal muscle thin filament assembly,cellular component organization,0.55
skeletal muscle tissue growth,metabolic process,0.178
skeletal muscle tissue regeneration,morphogenesis/development,0.782
